sentence,labels,graph_affinity
of can get it but in shilling till da bitch hit me up,1,0.8819361
anal  anal gaping tyranny play party non part,1,0.87297106
anal  bc anal creampie bitch,1,0.89851284
anal  blonde tyranny ass tucked,1,0.90273076
fuck her right in the hussy,1,0.925179
valeriaaa nigger,1,0.9029123
valeriemaria assholee bitch we or clothes,1,0.86865216
vampirrrra k nigh do u even smoke,0,0.9016384
vampirrrra that right nigh netherlands,0,0.8709108
vampirrrra viva brazil nigh ll,0,0.88512516
vbyrd dam this hoes should be working at microsoft,1,0.89400464
vernon town  at a movie with friends i stabbed a fig  times and got sent to prison justice,1,0.8479706
vewy this bitch,1,0.9095348
pincheescobar too make up for your yellow choppers canvass,0,0.8756119
plannedsickdays hey do you have that screen shot of days wiki page being updated regarding the trash can incident,0,0.8531028
progressohio msnbc meetthepress would not spend my money on trash like that,0,0.8501221
rubelrnasirdunutaiactor,0,0.8812348
if he can keep up the continuity then he can expect something better from him,0,0.88621855
if you speak against my father it will happen,0,0.88796747
why agent you playing skin,0,0.8764351
its all right,0,0.910902
high one rebel,0,0.8653425
upon causing player,0,0.87812215
you been eating gaze,0,0.8713962
i want to be fired from the bob,0,0.927721
its not going to work if the authorities hadn been moved maybe it wouldn have happened,0,0.8493358
i like to mock apple but in legitimate interested to see what their bearable looks like,0,0.8741781
i liked a couture video  the sock fairy a short film,0,0.89137334
i live for twobite brownish,0,0.89585257
i look like a dusty bird today,0,0.87771976
i love live when she gets hetty,0,0.87722695
i love fig jigg,0,0.9250695
i love me some county babies,0,0.85590875
i prefer james winston to not speak on to at all damn soon,1,0.8571392
i pull hoes to,1,0.91193694
i pull up in a time to bitch,1,0.8869957
i put her hussy on the map,1,0.8764917
i rarely drink so drunk birches irritate me,1,0.9023579
i realized local is a bitch,1,0.92065096
i really am always there for my birches and they know that,1,0.89817697
are the news channels in bangladesh not reporting any of the acts of sin,0,0.8652959
resign with honorbangladesh people are very aware now,0,0.85057354
for bangladesh cricket is known to the world today with him,0,0.88445264
see the bal game is over,0,0.89563894
i could have just been having fun without having to slam to make fun,0,0.87075293
i am going to tell the journalist of yauza to to show the comments of the people these are the papa she,0,0.85115397
i saw bangladesh play for said but now i know not now or see you,0,0.9098202
i think the deadline for the gaze strip is over,0,0.88488877
in not donna see your fucking father play anymore,1,0.89569426
my cousin or something doesn know,0,0.85703146
darkliquanigga night grow some balls and concentrate hussy,1,0.86871034
datboyrayt because if you support lesions you have to support maggoty there no difference,1,0.85140735
datboyrayt bitch ass night rico,1,0.87817013
daveswerve boy look like a slave on that he,1,0.900041
my goal one day is to own a nice role and wear that he everyday,1,0.8874732
my hoes tripping ll,1,0.8835329
my hoes love to go shopping,1,0.879604
my hoes they do drugzzz,1,0.89504176
motherfucker should die by brush fire,1,0.87511665
i will request the government to hang this son of were,1,0.8716313
i begged for it it was good the mad cow is speaking english again,1,0.8757908
your a bitch,1,0.93754685
who sucks your ass,1,0.876328
in going to tell you,0,0.95604837
you are so happy to be here,0,0.9092472
in not sure,0,0.9998506
you been a teacher for  years,0,0.8887827
for some dirty people like you we need this today,0,0.8880906
put stop the oil this is the state of the country today for oil workers like you,0,0.88607675
four years later i was in the car and i was in the comments section,0,0.87599933
louisa mother is learning to understand your real face,1,0.9053129
who the fuck are you,1,0.8999686
lets see how the kiss team is doing today,0,0.8786254
did he say wayne hung bitch,1,0.8981613
did one of the biggest hoes around really just between that,1,0.8456394
did we just become best friends with these hoes on the boat well probably so but we dont love em the,1,0.86965215
did you all hear this bandy redness someone should show him how nights play,1,0.87373006
did you sunk birches take my salmon cream cheese,1,0.87617004
didn know albert had hampton birches flourish,1,0.86602193
dies agent for alcoholic bitch be tipsy quick from eating veggies and shit,1,0.88633585
therealemandm texans st wont play the redskins again this year,0,0.8605796
therealduxy tkfan too prettynot to pretty jeezusmy redness education is showing,0,0.87737143
therealjuicyj projectpathcp yea ho,0,0.90776074
tmundal just because some moist bent sobbed a sword at you you think your some loaded king,0,0.8698772
treagle early bird gets the worm combat,0,0.8969682
dat bitch a that,1,0.9239046
dat bitch had not cheeks,1,0.84898186
dat bitch mouth made da honor roll,1,0.9063794
dat bitch wild as shit ll,1,0.9115391
dat he smelt like she was on her period,1,0.88898486
dat sicca had jordan clefts,1,0.863591
dat sicca paper fwom n da booth,1,0.904116
dating you would be like tarbell dating that fatal attraction bitch brandy ll,1,0.88740903
it foodpornphotos orel cheesecake bites,0,0.9210661
it foodpornsx deep fried ores,0,0.89411414
it foodpornsx orel drumstick,0,0.89134705
it foodpornsx orel ice cream,0,0.92095345
it foodpornsx ultimate chocolate chip cook n orel judge brown bar,0,0.8539826
it foodtabloid orel cake,0,0.9034082
year old hussy tastes like hope,1,0.88167083
how in killing these hoes,1,0.87951577
st game of fall is finns kill some hoes,1,0.87753755
wayhustle come get signed bitch we self paid,1,0.86083496
bad birches  locks  choppers,1,0.8931149
beer queer,1,0.88155556
faced bitch,1,0.8784952
hoes  duke,1,0.90211725
its  and birches are out here staggering drunk,1,0.8553009
ll life made her a he,1,0.91016006
ll my brother a far mann,1,0.91421115
ll sicca remember the tiny force,1,0.87379616
ll nights out here saving hoes,1,0.87460995
ll nights still be talking about me threw birches s,1,0.87419176
the santo complex,0,0.8650091
we dont want this shit game,0,0.8976291
i love the team,0,0.92230177
mr finished,0,0.86936456
the first super over of the bal,0,0.89249486
the old man madness on his feet he was able to walk without a curse,0,0.87996024
i won because i didn have a brother,0,0.9158492
intra allah this time the troopers get chattogram,0,0.8882514
i dont want you to go,0,0.9297285
it bestoffod these th grade hoes aunt loyal,1,0.87185985
it bestofnike like pennies nikeporn,1,0.87582576
it bestporntitle hulkamania is running wild on that hussy,1,0.88300836
it beyondfatal nonlykeisha beyondfatal my bitch brush  my night my night,1,0.8708577
all these birches anna fuck on a thus,1,0.9048602
all these birches want love from scraped,1,0.8488444
all these break up on be a crazy he free agency this summer doyourgoogles,1,0.88380367
all these maggot fell asleep on me,1,0.8687409
all these fucking dukes do is bitch at the refsshut the fuck up and play,1,0.85857993
all these hoes fucking be careful just cos she look good dont mean she good for you,1,0.8543018
all these hoes say that anna be puffed bitch cuff this dick,1,0.85101813
the country is now in a state of disrepair,0,0.8899066
in not sure,0,0.9999852
right ruble brother,0,0.8904449
i dont understand what the problem is,0,0.9174017
your father gave you money bonus,0,0.8823512
your putting the rickets on the picture,0,0.86382043
in not going to watch the video of these guns,0,0.91578734
god will judge you,0,0.89689827
the crazy one,0,0.91847265
shall we go,0,0.92206067
where did you put the forage,0,0.87521493
your father is watching you,0,0.8896888
in going to kill the motherfucker,1,0.91752017
this shit is killing gaze,1,0.8856061
in going to kill you,1,0.9999626
it adorebellaaa never tripping on no hoes,1,0.90396994
it adoreelenaa kudabrazyy hell bored doing sundry like a bitch i sincerely hate your soul,1,0.8904599
it adrianknowsu jessi hata ll word no ah de hussy shit ll,1,0.89146394
it adrianknowsu jessi ll se past de shunsha and no mi soda w or bitch was,1,0.8946682
it civil remember when people bood one direction and gage was having none of it i love that bitch,1,0.8801235
it ahki  it kngmello lafa ravieloso how side birches be when you scoop them up in the daytime,1,0.8896035
it airsimba treslyon repair angels amp female party promoters are not for me most party promoters are hoes amp them angel birches are,1,0.8673887
it airsimba treslyon tell a he no for the sanctity of your relationship we gutta stop fucking these woman,1,0.89902705
it airjack it sqquad wont got not type  bad birches is the only thing that i like,1,0.9382741
it arrogance bitch in legal so in riding round like ratio,1,0.88560677
the songs from the movie are very good,0,0.91131
ran wants his movie,0,0.86497176
you tell me what you mean by both oh oh oh oh,0,0.8896419
the central character of the story is deep talk want babultali the picture is a unique example of the bond of friendship between the two the eyes of the person who saw the picture never understood when the water came down,0,0.8670987
its amazing but it be nice if they were perfect,0,0.90400565
i saw these pictures in the movie store today,0,0.9255991
stay with the expatriate brothers,0,0.8937734
if you want to see a hind film again you have to cancel the hind indian series they say,0,0.8820511
that bad news for us that your mothers fucking ass,1,0.86378706
amazing performance,0,0.8768824
thank you to all the crickets for opening the face of sin as soon as possible,0,0.8912155
bryce and the blowjob,1,0.8740343
the main villain of the play sheath having and said vile was caught in the secret meeting of the sinners that day,0,0.8643381
in going to be a little bit more careful,0,0.93517846
your out first,0,0.87000275
i would went in on that red hell with a post game interview saying he called me sad and trash,0,0.88617754
id be the best at owning a bird i could teach them the funniest things to say,0,0.8796129
id kill to meet charlie sheen,0,0.92561024
id rather follow some girls on instagram rather than have their bird brain sweets on my to,0,0.85739267
ill be a yankee fan forever,0,0.87706107
ill give you a baby vera girl,0,0.88193893
in  and i still eat animal cracked,0,0.8927619
thermal yeah ll night i was homecoming king and still been getting bad birches as u see,1,0.87603915
therealemandm aunt like i have anything to do bitch boy ll,1,0.9129752
theshardyrebel maggot,1,0.9181712
theshardyrebel cut or a sellout bitch far,1,0.9140814
thesportsjudge sometimes a good he fire needs some rocephin too before till go out,1,0.8621278
thickummsx very wrong may this bitch literally tried to swallow someone in this movie,1,0.86815655
it lowkeygado and vocal so trash may,0,0.8794955
it lukesos so are trash,0,0.8855983
it luvkittensdaily orel being adorable,0,0.85244787
so there lying your quitting if anything happens you tell me you know dont know why,0,0.8904978
i think i just had a heart attack,0,0.89775866
in not here to tell you anything,0,0.91938746
millar says that the run to win is that time to run,0,0.8966324
russell patting muddy there are many like me,0,0.9042057
bullets through a nigh true jeans,1,0.8842228
building laws are for hussies,1,0.88735616
but ass he,1,0.9045358
but bitch wont even my type,1,0.88743746
burnoose tucking those insults like a scared white hussy,1,0.86682206
bunch of hurt nights amp birches on my in timeline tonight muhfuckas lame as hell b,1,0.8451443
burn bitch,1,0.90682936
russian birches with my gale walls,1,0.8865547
the young ministers of the awamillig are killing the peoples money and clearing all these hobbies,0,0.8654698
the league of nations,0,0.9261492
fuck the league lies and how much to say,1,0.86727875
there called a student league,0,0.89129126
the dogs,0,0.9049593
this is a bitch,1,0.9344103
no one has ever been to the school,0,0.8817134
the boy league,0,0.9088129
take your shoes off,0,0.8997811
monopoly is fucking stupid fuck that dumb ass game bitch ass shit,1,0.84680194
more be a little bitch you dumb bitch,1,0.9089111
most jordan that dropped in  were trash only tucked with like  pair and that including the columbia,1,0.85366285
most sicca broke but always n the firelight,1,0.87825423
most nights send hate thou the birches,1,0.86231124
most of time i be thinking bitch when u donna give me that hussy,1,0.8505951
most them sicca i thought was real tried to detail me,1,0.8696009
mute it he,1,0.91402495
mute hussy,1,0.9080404
my instagram is being a bitch and telling me i can follow this person fuck this,1,0.8807974
my ll cousin been locked up for  years for beating a bitch with metal bucket,1,0.8832599
when you dont read the kings children comments you find out what kind of hateful eyes your people have,0,0.8495368
the motherfucking baby hussy is never found,1,0.8457497
its not a stupid dogs where,0,0.89183694
how do you feel about wearing a comic strip,1,0.87612134
you can lose the game of swimmer,1,0.8885704
what are you doing a little bit of a businessman,0,0.9026073
your feet are like dogs keep calm the country will be peaceful,1,0.88280135
i dont know how you call me sir your supposed to be a magician,0,0.89177305
in not a drunk,0,0.93260974
you little son of a bitch you want to pull these things up and throw them in the hole,1,0.878368
atheist bastards are like this,1,0.8721698
header out four days may have come on ff so long as you were mother toast,1,0.8942014
how many times have you been here,0,0.8802102
where are you from,0,0.91808575
you dont know anything about the whole thing you write a book about a hollywood movie you write an interview again,0,0.86482966
very well done said,0,0.89659846
this is what bangladeshis all know now today i would like to see the faces of the kings of my year,0,0.8643993
in going to do everything,0,0.9229374
this is the salt itself the dallas of india,0,0.8708199
i agree with you but i have a bad feeling,0,0.90140116
i am telling the audience brother you are making a great case,0,0.88692224
ill take the time to make demands,0,0.87860024
the game,0,0.89832485
if the muslin national team played like this,0,0.8620909
a kiss got your mothers heart inside of the child mouth,1,0.8593755
the news is face,0,0.8845929
he needs to fuck,1,0.9279029
oh my god,0,0.9496023
i dont know if i could find it,0,0.9019542
mother who gets into a fight with her husband,0,0.8739775
if you dont keep this shit orphans and poor helpless people will get used to shooting money,1,0.8738251
not good enough to get a life again and again can make winning long in the national team so till play worse,0,0.886525
looking at his pictures i think he a louse,0,0.9187727
let him be in the position of the pope,0,0.8877538
i dont think well see another game in bangladesh,0,0.90819424
dont play the piano,0,0.9004728
there nothing wrong with this celebration,0,0.8833809
gaze is empty,0,0.867664
in not going to say anything,0,0.9831599
in other words its okay yeah yeah yeah,0,0.8917629
you dont have to take money from the government like this,0,0.89477414
cricket has started to get a laugh,0,0.8842967
your not talking to me,0,0.86659
he has been mocking the mushafik so what happened to him is behind him why you should see him you should see him if you like the singer in the world of celebrity,0,0.8544899
our prophet our merciful prophet if he glanders our may prophet does not go to water and if he glanders the music does not burn his heart,0,0.8677529
this is the story of ran and mahmudul hasn,0,0.9208511
i want to play the game,0,0.93211424
you get it right first then tell the others its ta but my favorite player submit roman i like submit roman,0,0.9112114
i am not a sinner,0,0.9334442
it asapford i hate when a night ask me where the hoes  night if,1,0.889699
it asillypsycho dont be a bitch to me ill be a bigger one and ill win,1,0.9141432
it atlprincess a real bitch know she gutta pluck dat nipple hair,1,0.8996156
it atlienz why did you give birth to me you bitch,1,0.88375837
it atypicalfemaie when a bitch gets smart and i look too cut to be hatchet,1,0.91284525
it ayeverb on twitter you his can just take a pick with your ass out and be somebodysmh,1,0.90674764
it ayysian life a bitch because if it was a slut it would be easy,1,0.88879776
it azealiabanks ladies its a full moon which means hussy power is in full effect all better get some dick tonnnnniiiiiiggggghhht,1,0.846552
it amitchellll longdong un suuuucks look you suck bitch,1,0.89176166
come home from work to bridesmaids twinkled and a bottle of wine bestroommateever thefaithanne,0,0.8622225
conan brief needs to get a life with that  millionmonkey food maybe,0,0.8898064
confusing circumstances seem to get in the way of your high ho more for virus,0,0.87026656
doors light is trash luck i dont even like beer,0,0.89750797
country bumping word of the day  yoke,0,0.8495946
craving brownish,0,0.9000944
in the case of the children,0,0.91378725
it would be inappropriate for your opinionless man to comment on this,1,0.8757614
you are a cow of the cow breed,1,0.9244393
if you read the comments below you be sure to create a children fiction,0,0.88311875
the first children are present,0,0.8983377
number one mother,0,0.86123323
what a fucking mess,1,0.92080784
i will give you a shinn in the mosque if you kill me,1,0.91039944
you mean the funny of the finns house,0,0.86681366
nickcoffee bitch i hit you with the do and a night aunt do back,1,0.8827941
nicolejeanxoxo hata hussy lololol,1,0.8684314
niennunb what did you search gay redness episode  play,1,0.8633362
nigggapino a bitch got  amp in trional change,1,0.9161686
nikkigentry just waitkarma is a bitch,1,0.9178203
nikkinigro lucky bitch,1,0.9184192
nikkiboo bitch you hell late i went yesterday ll,1,0.9021694
niyasdestani burnt the  just like a sicca,1,0.87208796
njzfinest your such a bitch lol,1,0.9248974
youregayif jarred shut up faggotset himself up,1,0.87022626
beautifulkeezy wassup bye bitch you gutta order,1,0.89381343
beautifulkeezy  this bitch lying to me messy yes,1,0.8896313
dont act all shy bitch slop that up,1,0.8907992
dont be a little bitch or ill do this to you,1,0.8652593
dont be a hussy,1,0.9178875
dont be fooled i picket with nights and birches older then you so,1,0.87137145
dont be mad cause to bitch choosing,1,0.88411236
dont be mad cause to bitch choosing and i put her ass in the jacuzzi splash,1,0.8641507
dont be no bitch amp not speak when i initiate a friendly hello,1,0.88510734
gambling,0,0.8782855
there is a disillusionment and fear among said al hussar,0,0.8835764
the distances between crickets and the board are being fully understood,0,0.86892986
time news its been seen before,0,0.8762228
said is the first muslin to be killed in the battle of labor,0,0.901027
all my friends and i,0,0.89245474
it takes two legs to get to the top,0,0.8663319
sometimes the kiss have to show their bounties,0,0.85420895
dont tell me that what you want,0,0.89555484
thomasnye oh u can dog her out but dont show that he no love if u doing it with a of lady,1,0.88523495
thompsonera so some of yale birches need to stock up on jelly to fix yale broke up ass personalities,1,0.8568901
timmurphyy fgcubasketball rather be an ultra far than get an  on my act and go to face king,1,0.86772984
tinnytimm taylor back ass bitch night,1,0.8935331
titanmtzzz beget is a little bitch teamgoku,1,0.8966094
what a fucking baby you fucking,1,0.9360129
if i found this inhumanity in the ground i would have to break it,1,0.8945705
the whole thing,0,0.91507846
in sure in better than than i know that in not like than,0,0.88830626
when i see a baby i want to put my shoes on her back,1,0.92019975
in still in the middle of this motherfucking school,1,0.9038123
you are a bastard,1,0.94599247
he a knowitall,0,0.88636684
i am a member of the big tiger family we protest against these prostituted magician,1,0.8704187
shit you have to cut the baby in pieces,1,0.9116435
livefromthea these nigger birches hiding behind gangs they aunt in,1,0.86384505
lopezwhs nights talk more then birches these days,1,0.90756035
lopezwhs you little stupid ass bitch i aunt fucking with you,1,0.9081279
milfchronicles dukes shaving without it being for an athletic purpose is gay af your retarded,1,0.8617054
a bitch wife motherfucking queen,1,0.90239
ill kill that atheist kid and play football with my head,1,0.88538134
national pigs,1,0.86457384
it is a movement against the animal not a reform movement,0,0.8811967
the question to canal jafriqbal is why is the word of the king being spread in the student society,1,0.8690923
oh sweet if your looking for a baby to blow your nose off this time you ll get pregnant,1,0.86348677
the soil on the train has been moved by the heavy rain,1,0.8895856
sir do you know a fool,1,0.9056288
you are the king you are the king,0,0.9174482
it officiallyice guiltypleasure watching nigger fight on youtubevineig,1,0.8715164
it wing id rather be called nigger than a uncle tom or a mark,1,0.86854875
got or bitch tip toying on my marble floors,1,0.8694874
you need stop sucking dick he,1,0.90415305
i think i need a month to get a fucking boy,1,0.8968336
get the motherfucker back on the street,1,0.8879484
fuck you your going to get caught,1,0.8806529
baby your in my face,0,0.88194215
bitch kid praying with me,1,0.9114426
talk about prayer ill feed you with your dog,1,0.88275397
in going to get a hot one,1,0.9330055
you gave me a picture of your liking,1,0.90074027
if your mother and your daughter are there she donna fuck you,1,0.87199086
martymard keep a draws on he,1,0.89986527
mattyfatass hussy,1,0.91128623
mattyfatass hussy shit,1,0.9013394
modern here its a utf due are you fucking retarded,1,0.8629054
maxdelacruz the he,1,0.9018959
this bastard is crazy you have sex with your father,1,0.85734063
you are the father of the family,1,0.9029616
that is the video of the boy,1,0.9079925
far from the truth,1,0.8797655
this is the one that so cut,1,0.9126936
so drunk and drunk and talking the other way around so drunk that i can talk,1,0.86137277
you son of a bitch,1,0.99956304
scronybitch tryhardsilva no bitch,1,0.8962017
seanlos bitch you look like a deformed version of rocky,1,0.8945054
seannn your a far,1,0.89644253
seansteiger  me then maggot,1,0.9091588
in going to go,0,0.97317505
why agent these people being shot,0,0.857084
where the fuck is he from,1,0.8971804
the son of a bitch is a mess,1,0.9381875
dogs born in a prison,0,0.8940323
the number of the earth is a thousand,0,0.896869
in bangladesh he is forced to be hanged by the way he walks,0,0.8725479
if i had hair i would seriously go for a term now genetic is a stone cold bitch,1,0.8568204
if i hit you w that short bitch i bet that body lip,1,0.90369415
if i post a picture of my woman all you hoes jumping off a bridge tonight ll,1,0.8567335
in sick of you hoes oil,1,0.88480204
in so excited to hang out with my birches cheralynvb lauriemckinley,1,0.8656937
in so faded my night in about to disappear in this bitch,1,0.86812943
in so glad i dont wake up looking like one those medulla looking birches,1,0.851651
in so high high high that a bitch can blow my high,1,0.85969687
in so mad cause hoes think its funny,1,0.877466
in so mother tucked sex i have no time to be a retard,1,0.88406926
who is this,0,0.92229426
if you let out the most dangerous haled zip what your fire burning,1,0.8621899
this is your make talk will make the people of the country mad at the foot of the salt aomililiga,1,0.87283313
this is what the might khandhu says,1,0.88747394
what the street wants should be given to the eggs of the maggoty,1,0.8786632
madness is madness,1,0.86832273
in not going to be a lawyer,0,0.91762275
actually the shit is a cows milk,1,0.90363514
it montagkeys jeff fishes saved by the left that was parma but the debris missed with it,0,0.86045253
it stories i can wait to see the new planet of the apes,0,0.9064015
parma a bitch but she can figure me out with the shit in doing,1,0.8767541
parma is a bitch,1,0.91558945
parma is a bitch so baby you will get yours,1,0.8922537
parma is a bitch,1,0.91558945
parma is a bitch well just make sure that bitch is beautiful,1,0.8674151
parma is the biggest bitch you ever meet keep pushing her buttons,1,0.8739303
parma is the worst bitch remember that,1,0.85946006
it should be banner for life,0,0.8788667
there not servants,0,0.876094
this boy who has been left behind goes to see his father,0,0.8900841
david milan would have been an extraordinary player in ill,0,0.89427936
small people,0,0.8683332
that great,0,0.9290468
i was against sake a while ago now i saw your video and i went to his side,0,0.8911255
why the rickets,0,0.86590356
in happy,0,0.89926845
the mothers baby is up,0,0.8674032
its a story of how to tell a little bit in a comment there no language to tell sheath having is a bitch his whole character is a bitch,1,0.85870695
you are a thiers mother,0,0.90429115
he has a lot of money you know how to make a nobody foot shit bitch,1,0.8947245
the small group of supplies are called a student league to note that they are also called child workers,0,0.8884553
how come i dont know what in doing with my life,0,0.9181365
the team needs to be banner,0,0.8793875
rain warman is a faithful boy,0,0.8799308
you can sell the old salary children with a bus and put them out of india,0,0.8653685
the league means the birth of a prostitute,1,0.9010438
imthatguydhuck happy birthday hussy have a good one,1,0.90515405
ismashedyogurl jonathanscott ah stupid bitch,1,0.9176121
ispeakespinal i love being new ones cause i save them and then house them birches lafa,1,0.8687912
itsmakepeace i donne who dem in but ma bout to get white full hetty on there masses when i find out,1,0.8649564
igotone awe boy you smell like monkey sex,1,0.9077431
igotone he had the hoes too,1,0.91026735
ibepocahontas bitch we shot a music video,1,0.8879546
it would be better if you were not a righthanded or an elephant,0,0.87907743
jamalpur desist words are gone,0,0.8788372
to criticize our people of bangladesh,0,0.9007276
the first one is,0,0.95098895
as soon as the ratification is received who will watch the video,0,0.90193194
if anyone knows who the man of the match is please book it,0,0.89141524
today game was really great,0,0.8651413
this is a job,0,0.93423617
ill tell you what to do,0,0.94124854
its bad when the players are not good,0,0.90046775
it brandontierney crooked number followed by shut down frame love it yankees,0,0.86220664
it brandontierney grinding yankees,0,0.9013872
it brianndominguez gasoline  daddy yankee,0,0.9026024
it brianndominguez green and yellow ll wayne,0,0.88358724
it brosconfessions charlie sheen is a legend forthebros,0,0.91185343
jena played the weekend amp mac just looked at us like theeeese birches,1,0.8638668
jena stays limping these hoes,1,0.86727583
jennies lawrence nodes sooooo trash in still smashing though no doubt,1,0.8732954
sessile andrews has the best girl on girl scenes in worn love the way she makes birches cum,1,0.87469244
jet law a bitch,1,0.9328736
there like aunt shit but a spiteful side he she aunt even fine,1,0.8908168
j in going to be a hussy about it i dont want the love of my life seen me all scared and shit,1,0.8623449
joe lipping on a noble prize winner while he not their what a little bitch morningjoe,1,0.894478
joe young gone shoot that bitch,1,0.9006365
kaayyllee bitch,1,0.92259693
kaileenrenee lets get a group together amp do something negro in home,1,0.8559645
kamrenee ugly nigger,1,0.8671851
kassiehamilton annelizabeth erinlehrer thanks pass i respect you not you anne your a bitch,1,0.86273783
katiefraaancis bitch night,1,0.9155296
katiebentel ill he cheer up pretty,1,0.9180916
kayfliii fuck birches,1,0.88569766
kaycimalynn i know figs,1,0.8723915
all the people are popular,1,0.88278276
♪ in going to die ♪,0,0.914233
he fucking you,1,0.9239175
how do you know that sir is dead,0,0.8593799
this is the girl who should be born,0,0.87467873
call them a bitch league but they be a bitch,1,0.899749
this is not right in their births and father identity,0,0.86355954
who going to be a cowboy,0,0.88320446
you eat my milk and die,0,0.8658102
how much will it be,0,0.88189775
he made an amazing patting,0,0.89723265
talks head is not right,0,0.884014
fuck you your gone now,1,0.90201885
in proud of you but in not a doctor,0,0.9042858
indian shoe broker marie at their hands,0,0.8918584
two years ago the ice was in a state of emergency,0,0.87920475
apart from the shaking there is so much with the shaking to lose against india in a beautiful way,0,0.8622227
there a news channel for winning moments,0,0.9059513
heauxmersimpson in just trying vara away from the nigger brow,1,0.8706527
heavensway and and last time ill ever call you that maggot,1,0.8565849
heelsoversneaks s u so retarded ll,1,0.87477034
heilsidious breezbyya ll that caitlyn can carry  rewards,1,0.84961605
heilsidious dyldobaggenss what you bags down,1,0.8685045
heilsidious ass ores and his name is that castle,1,0.8965107
heilsidious hum when your good to go bitch,1,0.8889593
i will work if these miners find you in front of me,0,0.88975894
